doc_number,rating,text,summary_raw,review_raw,summary_tokens_length
5548,5.0,"good, around, camera, used, year, never, bad, photographer, fault, yes, sometimes, red_eye, low_light, lot, caused, camera, flash, too, close, lens, avoid, red_eye, room, lights, helps, family, series, mm, point, shoots, better, reliable, least, simple, use, zoom, range, goes, true, wide, angle, not, portrait, length, regular, elph, not, still, mm, lenses, serious, photography, sure, easier, carry, elph",A Good All-Around APS Camera,"I've had and used q 370Z for over a year, and I've never had a bad snapshot that wasn't the photographer's fault.  Yes, I sometimes get red-eye in low light, but a lot of that is caused by the compactness of the camera - the flash is too close to the lens to avoid ALL red-eye. Increasing the room lights helps. Other family menbers have had a series of 35mm Point-and-shoots, but the 370Z is better.  Reliable (at least for me), simple to use, with a zoom range that goes from true wide-angle (most don't) to portrait-length telephoto (the regular ELPH doesn't).  I still have my 35mm SLRs and 7 lenses for ""serious"" photography, but it sure is easier to carry the ELPH 370.",4
5553,5.0,"five_stars, great",Five Stars,great,1
5555,1.0,"star, wrong",One Star,was the wrong one,1
5565,5.0,"five_stars, thank",Five Stars,thank you,1
5569,5.0,"good_quality, vhs, out, date, days, good_quality, main, format, recorded, things, old, camcorder, no_issues",Good quality,"VHS-C is out of date these days, but these are just as good a quality as they were when they were the main format. Recorded a few things with my old camcorder, no issues.",1
5571,5.0,"awesome, awesome, amazon, change, word, not, force, nobody, comment, write, review, word, need, bad, still, word, need, guys, make, person, not, wanting, anything",Awesome,"Awesome

This is for amazon. Change your word requirements. Dont force nobody to comment or write a review. one word is all i need. if its bad, then still, one word is all i need. you guys make a person not wanting to wright anything.",1
5578,4.0,"great, great, quick, delivery, needed, fast, must, use, purchase, asap, never_know, long, around, technology, changes",GREAT,GREAT QUICK DELIVERY NEEDED FAST FOR MY SONS BASEBALL. IF YOU MUST USE THESE THEN PURCHASE ASAP NEVER KNOW HOW LONG THESE WILL BE AROUND FOR WITH TECHNOLOGY CHANGES,1
5582,4.0,"four_stars, expected",Four Stars,[roduct was as expected,1
5589,3.0,"three_stars, best, deal, money",Three Stars,Best deal for the money,1
5596,4.0,"happy, find, maxell, mm, tapes, hard, find, area, days, glad, able, make, purchase, within, three_days, perfect, needed, overall, happy, results",Happy to find,Maxell 8mm tapes are hard to find for me in my area these days. Glad I was able to make my purchase and got them within three days which was perfect for what I needed them for. Overall very happy with the results.,2
5601,2.0,"voice, fax, not, need, add, phone, extension, without, cables, need, hook, fax, machine, product, ok, internet, connections, speed, go, less","For voice or fax only, not for modems","If you need to add a phone extension without cables or need to hook up a fax machine this product is ok, but for modems and internet connections, your speed will go dooooooown to 9600 or even less.",4
5602,2.0,"stars, not, expected",Two Stars,Not what I expected,1
5607,3.0,"little_light, bright, flashlight, handy, size, hate, no, switch, turn",bfight little light,it is a very bright flashlight that is a handy size hate no on off switch haveto twistheadto turn it on ver inconvenie,2
5608,5.0,"works, dvr, connection, phone, lines, bought, years_ago, works_well, phone, connection, dvr, require, no_problems, unit",Works for DVR connection to phone lines,I bought this a few years ago and works well for the phone connection that my DVR's require.  I've had no problems with this unit.,5
5609,5.0,"works_great, works, easy, says, took, minutes, move, phone, another, location, not, jack, no_problem, noise, printer, works_great, pleased",Works Great!,This works just as easy as it says.  It took me all of 10 minutes to move my phone to another location that didn't have a jack.  No problem with noise and my All-In-One printer works great with it.  I'm very pleased.,1
5611,2.0,"wireless, phone, jack, product, not, caller_id, makes, hissing, sound, irritating, bought, great, customer_service, refunded, purchase, buy, not, fault, product, mediocre",Wireless Phone Jack,"This product does not have caller ID and makes a hissing sound that is irritating. I bought it from BuyAccessories, who were
great with customer service and refunded my purchase. I will buy from them again. It's not their fault the product is mediocre.",3
5615,1.0,"short, working, life, worked_ok, died, reset, button, repeated, attempts, connect, failed, not_recommended",Short working life,"These worked OK for a while, then they died.  Reset button and repeated attempts to connect failed.

Not recommended.",3
5616,2.0,"quit, working, within, week, installed, product, tried_several, outlets, phone, always, produced, hiss, static, within, week, quit_working, not, transmitter, light, come, returned, unit, refund, different_brand, not, background_noise, hope, lasts",Quit working within a week.,"I installed this product and tried several A/C outlets,but the phone always produced backgound hiss and static.

  Within a week it quit working and I could not get the transmitter light to come on after that so returned the unit for a refund.  I got a different brand that does not have the background noise.  I hope it lasts.",4
5617,1.0,"piece, junk, not_work, caused, static, existing, phone_line, bought, network, box, connected, phone_line, needless, say, still, paying, service, fee, useless, piece, junk, closet",A piece of junk,Didn't work and caused static in the existing phone line.  I bought this to get my dish network box connected to a phone line.  Needless to say; I am still paying the monthly service fee and now have a useless piece of junk in my closet.,2
5619,1.0,"picks, lot, noise, household, appliances, device, not_work, use, electrical_wiring, home, send, receive, sound, signal, electrical_wiring, carry, lot, noise, electrical, appliances, light, apartment, noise, increased, electrical, devices, used, case, noisy, making, adapters, total, waist, money, found, similar, device, uses, ghz, works_great, device, called, potentially, ghz, signals, computer, wireless, land, wireless, phones, far, not, interference, try, see, works",It picks up a lot of noise from household appliances.,"This device did not work for me. They use the electrical wiring in your home to send and receive the sound signal. That electrical wiring can also carry a lot of noise from electrical appliances and even from light dimmers. In an apartment the noise is increased by all the electrical devices used by the neighbours, so in my case it was very noisy making this adapters a total waist of money. I found a similar device that uses 2.4GHz and it works great for me. But the device called DualJack could potentially interfere with other 2.4GHz signals like a computer wireless land or even wireless phones, so far I have not had any interference. You have to try them and see what works for you. Joaquin Arosemena",5
5621,1.0,"not_buy, unit, bought, unit, not_work, called, number, no, help, recorded, message, telling, troubleshoot, device, no_real, person, talk, wasted, minutes, trying, figure_out, make, work, finally, packed, device, returned, seller, ended, paying, shipping, cost",Don't buy this unit,"I bought this unit, however it did not work. I called the helpline number (800) 409-5111 and got no help. All I got was a recorded message telling me how to troubleshoot the device, with no real person to talk to.

I wasted 25 minutes trying to figure out how to make it work, and finally I packed the device and returned it to the seller. I ended up paying the shipping cost.",2
5623,1.0,"nearly, worthless, save, aggravation, run, phone, line, purchased, add, extension, phone_line, bedroom, old, wiring, house, phone, bedroom, stopped_working, no, dial_tone, available, use, cordless, phone, main, base, room, needed, phone, jack, tivo, dial, out, information, set, units, separate, purchased, unit, store, range, quality, good_enough, use, almost, anywhere, house, lot, effort, find, unit, nearly, worthless, range, limited, made_sure, transmitter, base, walls, nothing_else, electronics, way, yet, no, dial_tone, moved, receiver, single, wall, units, dial_tone, bad, signal, voice, calls, painful, listen, not, imagine, using, electronic, device, modem, tivo, data, best, signal, devices, room, within, feet, needless, say, kind, configuration, easier, cheaper, run, long, phone, cord, along","Nearly Worthless, save yourself the aggravation and just run a phone line","I purchased this to add an extension phone line into my bedroom. Because of old wiring in the house, the phone jacks in my bedroom stopped working and no dial tone was available. While I use a cordless phone with the main base in the other room, I needed a phone jack so my Tivo could dial out and get programming information. When set up, the two units would be in separate rooms with a hallway between them. I purchased this unit from a store after the clerk assured me the range and quality was good enough that I could use it almost anywhere in my house. After a lot of effort, I find the unit to be nearly worthless.

The range is VERY limited. I made sure that the only obstructions between the transmitter and base were the two walls between the two rooms and nothing else (furniture, electronics, etc.) were in the way, yet there was no dial tone. I moved the receiver so that only a single wall was between the two units, and I did get a dial tone, but had such a bad signal that voice calls would be painful to listen to. I couldn't imagine using it with an electronic device (like a modem or Tivo) that sends data. I got the best signal when both devices were in the same room and within 15 to 20 feet of each other. Needless to say, with that kind of configuration, it's easier and cheaper to just run a long phone cord along the baseboard.",7
5624,2.0,"not_work, wireless, phone, used, panasonic, ghz, phones, extension, not, dial_tone, plugged, simple, phone, worked_fine, beware, operation, unit, uncertain",Doesnt work w/wireless phone,"Used a Panasonic 2.4Ghz phones as the extension and it would not get a dial tone.  Plugged in a simple corded phone and it worked just fine.

So, beware, the operation of the unit is uncertain.",3
5625,3.0,"no, special, services, product, says, enables, transmit, calls, land, line, location, outlet, sadly, not, send, caller_id, information, subject, interference, cordless, phones, oddly, enough, no, caller_id, issue, problem, than, thought, kind, odd, go_back, phone, without, knowing, calling",No Special Services,"This product does what it says it does: It enables you to transmit calls from one land-line to any location with an outlet.  But sadly, it does not send Caller ID information, and is subject to the same interference as cordless phones.  Oddly enough, the no Caller ID issue has been more of a problem than I thought it would....it's kind of odd to go back to answering the phone without knowing who is calling!",3
5627,2.0,"customer, service, thought, ordered, receiver, transmitter, order, phone, told, send, email, never, stuck, orders",Customer service,"I thought I ordered both receiver and transmitter, had to re-order by phone. They told me they would send me a R.A. by email and I never got it now I'm stuck with two orders.",2
5628,3.0,"works_great, little, works_fine, phones, not_work, phones, caller_id, keep, mind, considering, purchase, works_great, others, overall, nifty, little, device",Works great but...,this little gizmo works fine for most phones but it DOES NOT work with phones with caller ID.  Keep that in mind when you're considering a purchase.  Works great with the others.  Overall a nifty little device.,1
5630,2.0,"not, bother, anything, standard, voice, connection, rca, wireless, connectors, okay, basic, phone, conversation, short, not_bother, trying, use, data, tivo, computer, simply, work, use, fairly, old, technology, basic, phone, conversation, result, interference, devices, house",Don't bother for anything but standard voice connection,These RCA wireless connectors are okay for basic phone conversation over short distances.  Don't bother trying to use them for data such as with TiVo or a computer.  They simply won't work.  They use a fairly old technology and even basic phone conversation can result in interference from other devices in the house.,6
5632,2.0,"wireless, phone, jack, probably, fine, product, not_know, anything, found, needed, base, unit, order, use, remote, not_wait, another, week, returned, product, purchased, another_brand, locally, rca, product, outdated, not, find, base, reason, purchasing, another_brand",Wireless phone jack,"This is probably a fine product, but I didn't know anything about them and found that I needed the base unit in order to use this remote.  I couldn't wait another week or more, so I returned the product and purchased another brand locally. This RCA product was outdated so I couldn't find a matching base...that's the reason for purchasing another brand.",3
5634,1.0,"bad, product, bought, product, connect, line, ft, receiver, phone, static, tried_several, locations, room, tried, contact, rca, inc, recording, live, person, talk, technical_support, not_waste, money",VERY BAD PRODUCT,"I bought this product to connect my Directv line. There is 25ft. between sender and receiver. All I get on my phone is static. I have tried SEVERAL locations in the room. I have tried to contact RCA (Thomson Inc.)all you get is a recording, you can't get a live person. You can't even talk to a technical support.
DON'T WASTE YOUR MONEY!!!!!!!!",2
5641,1.0,"review, out, reception, use, right, outside, door, no, than, feet, sending, unit, no, go, go_back, wired, hard, fine, tone, reception, not, stable, out, terrible, buy, part, soon, trash, cannot_see, giving, away, anyone, problems, too",WSP150 Review,"They fade in and out with reception.  I got them to use for Halloween to put right outside the door no more than 15 feet from sending unit. No go had to go back to wired.  They are hard to fine tone with reception and then they are not stable and fade in and out.  Terrible buy on my part.  Soon to be trash, cannot see even giving them away to anyone to have problems with them too.",2
5642,3.0,"shopping, around, wireless, speakers, use, room, work, pull, folks, sorry, not_think, way, set, table, without, work, hard, problem, antenna, well, kinda, well, look, possible",Is it just me?,"I'm shopping around for wireless speakers to use in a conference room at work so that I can pull in a few folks attending by teleconference.

I'm sorry, but I just don't think there's any way I could set this up on my conference table without some of my colleagues having to work very hard to conceal a grin, or even a snicker.

The problem, to put it delicately, is that the antenna is, well, er, it's um, kinda... WELL, JUST LOOK AT IT!  A possible distraction.",0
5643,2.0,"broke, complete, fuzz, purchased, speakers, year_ago, know, likely, useable, time, speakers, feel, free, use, example, amazon, right, buying, replacements, another_brand, completely, failed, worked_fine, first, quit, completely, tonight, no_power, nothing, still_works, lots, fuzz, find, tuning, signal, lot, time, replacement, use, wireless, speakers, spend, extra, different_brand, trying, research, supposedly, better, range, not, cheap, probably, replacing, year, patience, lasts, long, not, say, not","One broke, other complete fuzz","I purchased these speakers about a year ago. If you'd like to know what your likely useable time is with these speakers feel free to use this example. I'm on Amazon right now buying replacements (ANOTHER BRAND) for these that have completely failed. They worked fine at first, then got fuzzier. One quit completely tonight, no power..nothing. The other still ""works"" with lots of fuzz. I find myself re-tuning the signal a lot. Time for a replacement. If you intent to use wireless speakers spend some extra bones and get a different brand. I'm trying the Acoustic Research AW-871s now. They supposedly have better range. Don't settle for cheap unless you have to. You'll probably be replacing them in a year if your patience lasts that long! Don't say we didn't warn you!",3
5645,2.0,"works_ok, stars, works_ok, not_worth, price, tag, new, purchased, half, price, new, sounds, not, cd, quality, sound, similar, fm_radio, device, fm, signal, live, placed, speaker, bedroom, hooked, unit, stereo, living_room, listen, music, choice, cds, thru, out, home",Works OK.  2.5 stars,Works ok. Not worth the price tag new. I purchased refurb for half the price of new. Sounds is not CD quality. Sound is similar to FM radio as the device broadcasts over a FM signal. I live in a condo and placed 1 speaker in each bedroom and hooked the unit up to my stereo in the living room. Now I can listen to my Comcast Music Choice and CDs thru out my home.,2
5651,2.0,"pay, looking, headphones, replace, old, sony, mdr, losing, foam, covering, wanted, limit, outside, noise, not, sound, out, either, need, without, disturbing, closed, back, design, seemed, reading, reviews, headphones, trying, make, selection, found, major_problem, closed, back, sound, making, sound, ears, no, tried, playing, keyboard, sounded, way, worse_than, headphones, ear, buds, ever_used, credit, keyboard, than, sounded, little, better, maybe, headphones, great, listening, music, certainly_not, classical, returning",You get what you pay for...,"I was looking for some headphones to replace my old Sony MDR-V2s that were losing their foam covering.  I wanted them to limit outside noise while not leaking the sound out to outsiders either, as I need them for practicing piano without disturbing my roommates.  This is why the closed-back design seemed favorable.
In reading reviews of other headphones while trying to make my selection, I found that a major problem with closed-back designs is that the sound resonates and distorts, making it sound like tin cans over your ears.
There is no exepction with these.  When I tried playing my keyboard through them, they sounded way worse than any headphones or ear buds I had ever used with it.
To their credit, keyboard voices other than piano sounded a little better, so maybe these headphones would be great for listening to techno music or something, but certainly not classical.
I shall be returning these.",1
5653,2.0,"not, tried, recording, yet, playback, rocks, recorded, using, tape_player, friend, playback, rocks, using, never, thought, use, tape_player, design, makes, okay, importantly, hear, much, tape_player, than, pretty, big, backspace, ie, hit, return, second, really, think, great_sound, advice, not",Have not tried it for recording yet.. but playback rocks,"I am finishing my dissertation.. and I recorded interviews with a handheld and I have been using this tape player from a friend.. and for playback it rocks. i was using a transcriber with footpedal and I never thought I would use a tape player. but the shoebox design makes it okay but more importantly I can hear so much more on this tape player than I could on the transcribers. For transcribing it does have a pretty big backspace (ie.. when I hit return for a second, it really rewinds)but  I think it has great sound.  My only advice - don't do interviews at Starbucks! :)",6
5671,2.0,"not, quality, prior, purchases, radio, third, purchase, model, using, listening, stations, distant, home, several_years, new, set, not, near, range, tone, quality, prior, sets, purchased, years, changed, radio, plus, sets, wished, ge, set",Not up to the quality of prior purchases of this Radio,This was my third purchase of this Model.  I had been using these for listening to stations distant to my rural home for several years but this 'New' set didn't have near the range or tone quality of the prior sets that I had purchased over the  years.  I changed to CC Radio plus Sets which do what I had wished this GE set would do.,5
5672,5.0,"great, reception, nice, sound, excellent, battery, life, radio, pulls, stations, great, nice, sound_quality, dropped, floor, times, still_works, great, durable, battery_life, excellent, happy, radio","Great Reception, Nice sound and excellent battery life.",I Like this radio. Pulls in AM stations great. Has nice sound quality. I've even dropped this on the floor a few times. Still works great. Very durable. Battery life is excellent! Happy with this radio.,7
5673,2.0,"not, super, radio, radio, okay, sound, major_problem, radio, see, slide, dial, stations, contrary, picture, see, stations, numbers, station, light, enough, see, think, actually, grey, black, background, forget, another, radio, giving, goodwill",Not A Super Radio,"This radio does have okay sound, but the major problem I have with this radio is you can't see the slide dial that selects the stations.  Contrary to the picture, its very diffilcult to see the stations, the numbers for the station aren't light enough to see, I think their actually grey and against a black background forget it.

Once I get another radio, I'm giving this one to the Goodwill.",3
5676,1.0,"rca, superadio, not, ge, radio, not, ge, model, electronics, warehouse, claiming, old, sorry, rca, model, everyone_else, selling, amazon, bought, radio, chance, old, stock, since, ge, stopped, manufacturing, model, disappointed, rca, received, radio, sent, back, given, star, misleading, radio, ge, product, response, stating, radio, ge, done, homework, found, model, gone, least, versions, changes, last, three_years, since, rca, placed, brand, case, quality, became, rca, not, pay, than, due, poor, went, units, found, worked, thank, amazon, took, back, radios, kind, enough, exchange, found, suited, problems, drift, poor, reception, faulty, installation, knobs, radios, required, time, warm, produced, sound, first, receiver, looking, large, field, radio, grundig, fair, run, makes, great, small, radios, dsp, cost, fraction, grundig, line, small, mention, grundig, field, radio, dx, cost, station, drift, rca, china, becoming, better, producing, electronics, long, field, radio, dsp, many, problems, models, disappear",This is an RCA 7887 Superadio not GE,"This radio is not the GE model 7-2887 that Electronics Warehouse is claiming it to be but the same old sorry RCA 7887 model that everyone else is selling on Amazon. I bought the radio on the chance it was old stock since GE stopped manufacturing this model in 2008 but was very disappointed with the RCA 7887 that I received. The radio was sent back to EW and they were given one-star for falsely misleading the radio as a GE product. EW e-mailed a response stating that the radio was the same as the GE but having done my homework, found this model has gone through at least two versions changes in the last three years since RCA placed it's brand on it and in each case the quality became poorer and poorer.

I own a RCA 7887 and it's o.k. but don't pay more than $35.00 due to the poor costruction or the possibilty of getting one that's DOA. I went through 5 units until I found one that worked to my satisfaction. Thank you to Amazon that took back all those radios and were kind enough to exchange them until I found one that suited me. Problems with the 7887 ranged from drift and poor dxing reception, to faulty installation of knobs. All the radios required time to warm up before they produced any sound and reminded me of my first tube receiver.

If you are looking for a large field radio, Grundig's 450dlx is fair but will run between $80-100. Tecsun makes great small radios with DSP and cost a fraction of the Grundig line but they are all very small. I will also mention Grundig's other field radio, the 350dx, but at a cost of $80 it also has the same station drift that rivals the RCA 7887. With China becoming better at producing electronics, it won't be long before we will have a field radio with DSP and then many of the problems that exsist with all the models will disappear.",4
5678,2.0,"ge, superadio, not, super, anymore, owned, three, radios, performed, well, especially, distant, reception, present, version, radio, hardly, performs, better_than, average, radio, times, reception, distant, good, try, listen, game, station, miles, away, correct, drift, every, minutes, wife, saw, frustration, night, turned, cheap, table, top, radio, sure, enough, held, station, better, sound",GE Superadio is not super anymore,"I have owned three of these radios.  They once performed well, especially distant AM reception.  The present version of this radio hardly performs any better than your average $10 radio.  At times, the Am reception from distant cities can be good.  But try to listen to a baseball game from a station only 35 miles away, and you have to correct the drift about every two minutes.  My wife saw my frustration one night, turned on the cheap table top radio and sure enough it held the station and had a better sound.",5
5682,4.0,"careful, bought, original, version, radio, back, late, years, great, basic, radio, loud_enough, sound, shop, work, use, left, sun, melted, case, little, still_works","Careful, it melts!",I bought the original version of this radio back in the late 70s. We've had this one for over two years.  It's a great basic radio with loud enough sound for shop/work use.  We left it in the Vegas sun and it melted the case a little.  It still works!,2
5683,3.0,"old, reception, bought, back, garage, fairly, disappointed, uses, old, tuning, technology, station, continually, drift, sound, ok, little, guessing, lot, people, buy, reasons, ended, selling",Old Fashsion -- mediocore reception,"I bought this a while back for the garage and was fairly disappointed. It uses old tuning technology and the station would continually drift. The sound was ok, but a little bassy. I'm guessing a lot of people buy it for nostalgic reasons. I ended up selling it.",4
5688,2.0,"model, changed, not, better, bought, pair, headphones, replace, pair, model, bought, several_years, ago, first, pair, good, sound_quality, especially, price, nowhere_near, good, high_end, headphones, not_expect, problem, thin, cable, eventually, broke, pair, replacements, look, model, number, comparison, ends, new_ones, terrible, dynamic, range, sound, flat, dull, cord, upgraded, much_heavier, gauge, too_heavy, opinion, stiff, gets, way, pairs, old, new, good_job, blocking, out, background, really_liked, reading, wanted, mute, sounds, rest, house, new, pair, still, acceptable, job, blocking, sounds, not_worth, wearing",This model has changed and not for the better,"I bought this pair of headphones to replace an pair of the same model that I bought several years ago. The first pair had a very good sound quality, especially fore the <$25 price. Nowhere near as good as high-end headphones but I didn't expect them to be. Their only problem was a very thin cable which eventually broke.
This pair of replacements look the same and bear the same model number but the comparison ends there. The new ones have terrible dynamic range and sound flat and dull. the cord has been upgraded to a much heavier gauge - too heavy in my opinion as it is now so stiff that it gets in the way.
Both pairs, old and new, do a good job of blocking out background noises.
I really liked my originals for when I am reading or painting and wanted to mute the sounds from the rest of the house but this new pair, while they still do an acceptable job of blocking sounds, are not worth wearing.",4
5689,4.0,"four_stars, happy",Four Stars,happy with it,1
5690,2.0,"not_buy, ok, sound, little, sound",Don't buy.,"OK sound, very little sound cancelling.",1
5692,4.0,"pretty_good, radio, large, pretty_good, sound, reception, live, area, people, cannot, half, unit, buy, performance, yes, buy, maybe, not, size, large",Pretty Good Radio,"It is very large but does have pretty good sound and reception, I live in an area where some people cannot get half of what I get on this unit....buy again because of performance...yes.....buy again .... maybe not because of size being so large....",2
5695,4.0,"better, ok, better",could be better..,"OK, could be better.......",1
5700,2.0,"cheap, hell, wife, school, well, cheap, price, amazon, junk, im, sell, junk, class",CHEAP AS HELL,"GOT THESE FOR MY WIFE IN SCHOOL . WELL I JUST GOT A LESON IN THAT IF ITS A CHEAP PRICE ON AMAZON ITS JUNK.
. im a supervisor at the chattanooga plant and we sell junk ....got it now class ???????",2
5704,4.0,"good, reception, weak, stations, bought, radio, order, listen, station, area, weak, prior, radio, not_come, radio, house, strong, clear, complaint, front, volume, not_seem, well_made, seems, break, come, since, leave, station, volume, time, probably, problem, looks, sturdier, picture, than, feels, pretty, lightweight, plastic, reason, receive, station, job, well",Good reception for weak AM stations,"I bought this radio in order to listen to an AM station in my area that is very weak.  Prior to getting this radio, I couldn't get it to come in on any radio in my house.  Now, I can get it very strong and clear.  The only complaint I have is that the dials on the front for volume, etc. don't seem well made and seems like they could break or come off.  Since I leave it on the same station and same volume all the time, it probably won't be a problem.  It also looks sturdier in the picture than it feels.  It's pretty lightweight plastic.  But, the only reason I got it was to receive this one station, and it does that job well.",4
5706,4.0,"worked, bought, prs, years_ago, extended, trip, plane, rides, later, happy, purchase, not_think, happy, not_buy, headphones, though, worked_well, able, hear, flight, movie, movies, portable, dvd_players, stars, little, flimsy, broke, rugged, use, home, pair, still, functioning, quite, well, saw, price, bought, pair, summer, not, techie, stuff, others, say, works_well, great",Worked for me...,"I bought 4 prs of these about 6 years ago for an extended trip. 6 plane rides later, we were all happy with the purchase. I don't think the stewardesses were happy that we didn't have to buy headphones though... but, they worked well and we were able to hear the in-flight movie and the movies on our portable DVD players. 4 stars because they are a little flimsy and some of them broke with more rugged use when we got home. However, two pair are still functioning quite well. Saw these at this reduced price and I just bought 5 more pair for some travelling this Summer. I don't get into all the techie stuff that others do... I just say if it works well, great...",1
5708,1.0,"not_buy, radio, ge, superadio_iii, used, great, radio, bought, first, seven, years_ago, worked_well, bought, another, recently, purchased, not, radio, side, side, look, except, numbers, tuning, dial, inside, circuit, real, difference, new, radios, unable, tune, stations, nearly, well, older, radios, recommend, not, purchasing, radio",Do not buy this radio!,The GE Superadio III used to be a great radio.  I bought my first one seven years ago and it worked so well that I bought another.  I have recently purchased two more as gifts and they are not the same radio.  Side-by-side they look the same (except for the numbers on the tuning dial).  Inside they have dissimilar circuit boards.  The real difference is the two new radios are unable to tune stations nearly as well as the older radios.  I would recommend not purchasing this radio.,2
5710,2.0,"great, headphones, months, borrowed, headphones, dad, decided, ear, pair, wanted, check_out, brands, looked, least, hour, different, brands, read, hundreds, reviews, bose, beats, searching, came, conclusion, good_price, bass, not, loud_enough, gauge, loud, out, speaker, actually, fit, perfectly, around, ear, without, touching, part, ear, wear, hours, hot, little, headphones, not, funny, see, people, complain, no, air, ears, course, hot, anyway, love, headphones, make, step, music, played, large, powered, speakers, pretty, large, building, use, headphones, idea, sound, regards, volume, bass, job, guess, headphones, dad, made, better_quality, than, ones, bought, left, headphone, stopped, producing, sound, completely, not, working, treat, things, great, care, never, handled, headphones, way, gently, not_sure, problem, stars, reduce, stars, went, star, sound_quality, actually, good, stated",Great headphones for two months,"I borrowed these headphones from my dad and decided to get an over the ear pair for myself, but wanted to check out other brands. I looked for at least an hour at all different brands and read hundreds of reviews. Bose, Skull Candy, Beats by Dre. After all the searching, I came to the conclusion that these are as good as any for the price. The bass is not loud but it is enough to gauge if it will be loud out of a speaker. They do actually fit perfectly around my ear without touching any part of my ear. I can wear them for hours. They get hot after a little but what headphones don't. Its funny when I see people complain about that. You have no air getting to your ears, of course they will get hot. Anyway, love these headphones.

I make dub step music mixes and they get played through large powered speakers in a pretty large building. I use these headphones to get an idea of how it will sound in this venue with regards to volume and bass. These do the job for me!!

I guess the headphones my dad had were made with better quality assurance than the ones I bought. The left headphone stopped producing sound completely and could not get it working again. I treat my things with great care and never handled these headphones any way but gently. Not sure the problem. I did have 5 stars but had to reduce to 2 stars. Would have went to 1 star, but the sound quality was actually good as I stated above.",3
5711,2.0,"maxell, headphones, great, first, purchase, not, hold, well, used, inside, home, handled, carefully, side, speaker, went, months_later, stopped, well, lasted, less_than, year, not_waste, money, opted, instead, phillips, extremely, comfortable, around, head, noise, sound",Maxell headphones,"These were great at first purchase, but they did not hold up very well. They were used only inside the home and handled carefully.  One side speaker went and then a few months later, the other one stopped as well.  They lasted less than one year.  DON'T WASTE YOUR MONEY.

We opted INSTEAD for PHILLIPS O'NEILL SHO9561/28.  These are extremely comfortable around your head, noise-reducing, fab sound.",2
5712,4.0,"good, radio, fun, listen, out, state, radio_stations, tuning, bit, worth, price",Good Radio,"Fun to listen to out of state radio stations. Tuning can be a bit of a chore, but worth the price.",2
5716,4.0,"finally, found, mother, radio, finally, went, years, excellent, service, radio, purchased, radios, different, times, none, received, although, said, finally, found, amazon, whether, accept, positive, negative, reviews, line, decided, order, work, despite, rare, static, happy, radio",Finally Found!,"My mother's radio finally went after about 40 years of excellent service.  She only listens to WOR - AM radio.  I purchased 3 radios for her (at different times) and NONE of them received AM, although their papers said they would.  Finally found this one on Amazon and then had to debate whether to accept the positive or negative reviews on-line.  Decided to order it and it does work, despite some rare static.  Happy with this radio, as is she.",2
5719,5.0,"good, reception, difficult, areas, without, spending, yeah, made, plastic, not, throw, want, enjoy, mine, set, pick, stations, volume, tone, set, way, want, controls, switch, stations, occasion, suspect, radio, last, radios, especially, useful, home, office, partially, completely, ground, finished, basement, work, metal, office, building, want, listen, talk, radio, signals, directional, need, find, location, station, want, listen, point, radio, toward, listen, radio, place, nobody, else, good, general, purpose, portable, radio, sitting, out, deck, listening, game, music, whatever, not, bulky, boom, box, better, speakers, than, portable, radios, sounds, better, return, slightly, higher, price, comment, build_quality, say, radio, stays, place, tuned, channel, maybe, tuned, second, channel, occasion, hardly, adjust, controls, maybe, construction, quality, point, not, using, radio, way, moving, controls, much, easy, life",Get good reception in difficult areas without spending a fortune.,"Yeah, it's made of plastic.  Don't throw it down the stairs then.  Just put it where you want it and enjoy it.  Now that I've got mine set up where it can pick up stations and I've got the volume and tone set the way I want, all I do with the controls is switch between the same two stations on occasion.  So I suspect this radio will last a while.

These radios are especially useful if your home office is partially or completely below ground, like in a finished basement.  Or, if you work in a metal framed office building and you want to listen to talk radio.

AM signals are directional.  You need to find the location of the transmitting tower for the station you want to listen to, and then point the radio toward the tower.  That's what I did and I can listen to radio in a place where nobody else can.

It's also a good general purpose portable radio for sitting out on your deck listening to the game or music or whatever.  It's not as bulky as a ""boom box"" but it's got better speakers than most portable radios, so it just sounds better in return for a slightly higher price.

Postscript:  In all fairness to those who comment on the build quality, I will say that my radio stays in one place tuned to one channel and maybe tuned to a second channel on occasion.  I hardly adjust the controls at all.  So, maybe those who are complaining about the construction quality have a point.  I'm just not using this radio in a way that involves moving it or manipulating the controls much.  It has a very easy life.",7
